,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
ebo,1.0,0.4825911522,0.1054534912,0.3880448341,0.3705310822,1.573562622e-05,0.8736042976,0.4244885445
fdbd,0.4825911522,1.0,0.0002555847168,0.1465167999,0.8485937119,0.01558303833,0.004151344299,0.04249811172
gen,0.1054534912,0.0002555847168,1.0,0.0004281997681,4.196166992e-05,0.1761918068,0.002194881439,9.536743164e-07
klm,0.3880448341,0.1465167999,0.0004281997681,1.0,0.1559705734,0.0004281997681,0.005928516388,0.01032447815
knn,0.3705310822,0.8485937119,4.196166992e-05,0.1559705734,1.0,0.005928516388,0.0003619194031,0.9492697716
mds,1.573562622e-05,0.01558303833,0.1761918068,0.0004281997681,0.005928516388,1.0,0.06341934204,0.01895666122
nnguide,0.8736042976,0.004151344299,0.002194881439,0.005928516388,0.0003619194031,0.06341934204,1.0,0.003239154816
relation,0.4244885445,0.04249811172,9.536743164e-07,0.01032447815,0.9492697716,0.01895666122,0.003239154816,1.0
