FPR@TPR_pval≤0.05,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
ebo,-,-10.0,-1.0,-10.0,-6.0,9.0,0.0,6.0
fdbd,-10.0,-,10.0,0.0,-3.0,10.0,10.0,10.0
gen,-1.0,10.0,-,10.0,4.0,-7.0,1.0,10.0
klm,-10.0,0.0,10.0,-,-5.0,10.0,10.0,10.0
knn,-6.0,-3.0,4.0,-5.0,-,10.0,0.0,-1.0
mds,9.0,10.0,-7.0,10.0,10.0,-,-8.0,10.0
nnguide,0.0,10.0,1.0,10.0,0.0,-8.0,-,6.0
relation,6.0,10.0,10.0,10.0,-1.0,10.0,6.0,-
