,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
ebo,1.0,0.01032447815,0.4627776146,0.001672744751,0.9239659309,0.0005044937134,0.7502379417,0.07942724228
fdbd,0.01032447815,1.0,0.0002555847168,0.06844425201,0.05007266998,0.006649494171,0.0001769065857,0.02291631699
gen,0.4627776146,0.0002555847168,1.0,4.768371582e-07,0.1869764328,0.02753543854,0.128880024,0.0001769065857
klm,0.001672744751,0.06844425201,4.768371582e-07,1.0,0.001091480255,0.0001769065857,4.768371582e-07,1.573562622e-05
knn,0.9239659309,0.05007266998,0.1869764328,0.001091480255,1.0,0.00744342804,0.5028400421,0.6327285767
mds,0.0005044937134,0.006649494171,0.02753543854,0.0001769065857,0.00744342804,1.0,0.06341934204,0.03011751175
nnguide,0.7502379417,0.0001769065857,0.128880024,4.768371582e-07,0.5028400421,0.06341934204,1.0,0.0008091926575
relation,0.07942724228,0.02291631699,0.0001769065857,1.573562622e-05,0.6327285767,0.03011751175,0.0008091926575,1.0
