,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
ebo,1.0,0.003671169281,0.5660676956,9.870529175e-05,0.01147270203,0.01032447815,0.4060330391,0.01147270203
fdbd,0.003671169281,1.0,8.058547974e-05,0.5879268646,0.1869764328,0.005928516388,0.0002131462097,0.0006937980652
gen,0.5660676956,8.058547974e-05,1.0,4.768371582e-07,0.008316040039,0.07942724228,0.06341934204,5.24520874e-05
klm,9.870529175e-05,0.5879268646,4.768371582e-07,1.0,0.01272726059,0.001918315887,4.768371582e-07,0.0001463890076
knn,0.01147270203,0.1869764328,0.008316040039,0.01272726059,1.0,0.0008091926575,0.0461602211,0.7745289803
mds,0.01032447815,0.005928516388,0.07942724228,0.001918315887,0.0008091926575,1.0,0.06341934204,0.00744342804
nnguide,0.4060330391,0.0002131462097,0.06341934204,4.768371582e-07,0.0461602211,0.06341934204,1.0,0.002504825592
relation,0.01147270203,0.0006937980652,5.24520874e-05,0.0001463890076,0.7745289803,0.00744342804,0.002504825592,1.0
