acc_90_pval≤0.01,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
ebo,-,10.0,0.0,10.0,0.0,-1.0,-1.0,7.0
fdbd,10.0,-,10.0,0.0,-1.0,10.0,9.0,9.0
gen,0.0,10.0,-,10.0,0.0,-1.0,0.0,9.0
klm,10.0,0.0,10.0,-,1.0,9.0,10.0,10.0
knn,0.0,-1.0,0.0,1.0,-,6.0,0.0,0.0
mds,-1.0,10.0,-1.0,9.0,6.0,-,-2.0,6.0
nnguide,-1.0,9.0,0.0,10.0,0.0,-2.0,-,6.0
relation,7.0,9.0,9.0,10.0,0.0,6.0,6.0,-
