versions,id_database,ood_database,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
with OE,cifar10,cifar100,0.8406745833,0.8352520833,0.8422716667,0.8175525,0.67254625,0.7580666667,0.8327370833,0.8372970833
,,dtd,0.906059375,0.9060773438,0.9060210938,0.9056796875,0.904015625,0.9056148438,0.9061023438,0.905721875
,,letters,0.9729548246,0.9728335526,0.9728672692,0.9727986842,0.9698131579,0.9710375,0.9729541667,0.9729916667
,,mnist,0.9537273077,0.9538346154,0.9537769231,0.9536880769,0.953705,0.9539461538,0.9537273077,0.9537842308
,,tiny_imagenet_200,0.9123647861,0.8852372193,0.90923,0.8811229545,0.8938092914,0.9295650134,0.9030200936,0.8858097326
,cifar100,cifar10,0.6344275,0.5997704167,0.6363225,0.5808733333,0.605805,0.6454829167,0.6146408333,0.61518625
,,dtd,0.9067617188,0.906525,0.9066054688,0.8960523438,0.9050125,0.9058179688,0.9065390625,0.9061679688
,,letters,0.9737611842,0.973877193,0.9737403509,0.9711302632,0.9589554825,0.9591050439,0.9737828947,0.9736824561
,,mnist,0.9540753846,0.9540976923,0.9541126923,0.9488780769,0.9538234615,0.95414,0.9541934615,0.9539176923
,,tiny_imagenet_200,0.9716545053,0.9720315241,0.9719006952,0.9686447861,0.9645525535,0.9643727273,0.9719711364,0.9715536898
,super_cifar100,super_cifar100,0.7938258333,0.784305,0.7896125,0.7780725,0.7864066667,0.8079182277,0.7769641667,0.7876925
without OE,cifar10,cifar100,0.8344758333,0.7480191667,0.83128875,0.77713875,0.8419679167,0.8735379167,0.8154329167,0.7833375
,,dtd,0.904515625,0.8962835938,0.9045875,0.9012960938,0.904684375,0.9060351563,0.9045835938,0.9021453125
,,letters,0.8455342105,0.6689894737,0.8195201754,0.7230309211,0.8485614035,0.9176096491,0.8697679825,0.7789903509
,,mnist,0.8551503846,0.7368019231,0.8427823077,0.7754630769,0.8519011538,0.9188315385,0.8409261538,0.799235
,,tiny_imagenet_200,0.8170713102,0.696571631,0.8118414572,0.7366012567,0.8225910294,0.8934422995,0.7961395321,0.7455035294
,cifar100,cifar10,0.6444441667,0.5742316667,0.6416191667,0.6098908333,0.6108441667,0.69596,0.6205641667,0.6074291667
,,dtd,0.8911109375,0.8753828125,0.8907578125,0.8727945313,0.8850085938,0.8974976563,0.8876789063,0.882940625
,,letters,0.5166078947,0.4279605263,0.5257041667,0.4459958333,0.5201304825,0.5204445175,0.5191208333,0.4696910088
,,mnist,0.5826761538,0.5242411538,0.5904073077,0.5549188462,0.6061823077,0.5818611538,0.5899892308,0.5471196154
,,tiny_imagenet_200,0.6200502273,0.5164384626,0.6235594786,0.5420402005,0.5843955615,0.6741153342,0.5825810963,0.5394948529
,super_cifar100,super_cifar100,0.802095,0.7859408333,0.8019333333,0.785195,0.7953541667,0.81674,0.7949691667,0.7853283333
