,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
ebo,1.0,0.07942724228,0.07377576828,0.0003619194031,0.3880448341,9.870529175e-05,0.4060330391,0.09173250198
fdbd,0.07942724228,1.0,0.001261711121,4.768371582e-07,0.01272726059,0.02291631699,0.01409482956,0.5879268646
gen,0.07377576828,0.001261711121,1.0,4.768371582e-07,0.7502379417,0.008316040039,0.1658587456,0.001091480255
klm,0.0003619194031,4.768371582e-07,4.768371582e-07,1.0,3.337860107e-05,2.384185791e-06,4.768371582e-07,4.768371582e-07
knn,0.3880448341,0.01272726059,0.7502379417,3.337860107e-05,1.0,0.00145483017,0.4244885445,0.0461602211
mds,9.870529175e-05,0.02291631699,0.008316040039,2.384185791e-06,0.00145483017,1.0,0.08540916443,0.03289413452
nnguide,0.4060330391,0.01409482956,0.1658587456,4.768371582e-07,0.4244885445,0.08540916443,1.0,0.001091480255
relation,0.09173250198,0.5879268646,0.001091480255,4.768371582e-07,0.0461602211,0.03289413452,0.001091480255,1.0
