F1_score_pval≤0.1,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
ebo,-,10.0,0.0,10.0,0.0,9.0,0.0,3.0
fdbd,10.0,-,10.0,2.0,10.0,10.0,10.0,10.0
gen,0.0,10.0,-,10.0,-1.0,9.0,-2.0,-6.0
klm,10.0,2.0,10.0,-,10.0,10.0,10.0,10.0
knn,0.0,10.0,-1.0,10.0,-,10.0,0.0,-3.0
mds,9.0,10.0,9.0,10.0,10.0,-,9.0,9.0
nnguide,0.0,10.0,-2.0,10.0,0.0,9.0,-,8.0
relation,3.0,10.0,-6.0,10.0,-3.0,9.0,8.0,-
