acc_99_pval≤0.01,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
ebo,-,0.0,0.0,0.0,0.0,10.0,0.0,0.0
fdbd,0.0,-,10.0,0.0,0.0,9.0,7.0,-5.0
gen,0.0,10.0,-,8.0,6.0,-2.0,1.0,9.0
klm,0.0,0.0,8.0,-,0.0,8.0,0.0,-2.0
knn,0.0,0.0,6.0,0.0,-,9.0,1.0,0.0
mds,10.0,9.0,-2.0,8.0,9.0,-,-6.0,-8.0
nnguide,0.0,7.0,1.0,0.0,1.0,-6.0,-,2.0
relation,0.0,-5.0,9.0,-2.0,0.0,-8.0,2.0,-
