aupr_pval≤0.1,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
ebo,-,9.0,0.0,10.0,0.0,10.0,0.0,4.0
fdbd,9.0,-,10.0,10.0,10.0,10.0,10.0,0.0
gen,0.0,10.0,-,10.0,0.0,9.0,-3.0,8.0
klm,10.0,10.0,10.0,-,10.0,10.0,10.0,10.0
knn,0.0,10.0,0.0,10.0,-,9.0,0.0,9.0
mds,10.0,10.0,9.0,10.0,9.0,-,8.0,9.0
nnguide,0.0,10.0,-3.0,10.0,0.0,8.0,-,10.0
relation,4.0,0.0,8.0,10.0,9.0,9.0,10.0,-
