F1_score_pval≤0.01,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
ebo,-,-8.0,0.0,10.0,0.0,7.0,0.0,-1.0
fdbd,-8.0,-,10.0,0.0,-10.0,10.0,10.0,-10.0
gen,0.0,10.0,-,10.0,0.0,-4.0,0.0,4.0
klm,10.0,0.0,10.0,-,10.0,10.0,10.0,10.0
knn,0.0,-10.0,0.0,10.0,-,8.0,0.0,-2.0
mds,7.0,10.0,-4.0,10.0,8.0,-,-5.0,-5.0
nnguide,0.0,10.0,0.0,10.0,0.0,-5.0,-,4.0
relation,-1.0,-10.0,4.0,10.0,-2.0,-5.0,4.0,-
