,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
ebo,1.0,0.005928516388,0.1465167999,0.0002555847168,0.7745289803,8.058547974e-05,0.4434065819,0.009274482727
fdbd,0.005928516388,1.0,1.192092896e-05,1.430511475e-06,0.00744342804,0.002504825592,0.001918315887,0.5028400421
gen,0.1465167999,1.192092896e-05,1.0,4.768371582e-07,0.09841060638,0.006649494171,0.09173250198,4.768371582e-07
klm,0.0002555847168,1.430511475e-06,4.768371582e-07,1.0,5.24520874e-05,4.768371582e-07,4.768371582e-07,4.768371582e-07
knn,0.7745289803,0.00744342804,0.09841060638,5.24520874e-05,1.0,6.532669067e-05,0.5660676956,0.005928516388
mds,8.058547974e-05,0.002504825592,0.006649494171,4.768371582e-07,6.532669067e-05,1.0,0.03011751175,0.002194881439
nnguide,0.4434065819,0.001918315887,0.09173250198,4.768371582e-07,0.5660676956,0.03011751175,1.0,0.0002131462097
relation,0.009274482727,0.5028400421,4.768371582e-07,4.768371582e-07,0.005928516388,0.002194881439,0.0002131462097,1.0
