TPR@FPR_pval≤0.1,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
ebo,-,10.0,0.0,10.0,-1.0,10.0,-2.0,7.0
fdbd,10.0,-,10.0,10.0,10.0,10.0,10.0,0.0
gen,0.0,10.0,-,10.0,0.0,10.0,-3.0,10.0
klm,10.0,10.0,10.0,-,10.0,10.0,10.0,10.0
knn,-1.0,10.0,0.0,10.0,-,10.0,-1.0,10.0
mds,10.0,10.0,10.0,10.0,10.0,-,10.0,10.0
nnguide,-2.0,10.0,-3.0,10.0,-1.0,10.0,-,10.0
relation,7.0,0.0,10.0,10.0,10.0,10.0,10.0,-
