,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
ebo,1.0,0.002851486206,0.6788630486,9.059906006e-06,0.004684925079,0.01147270203,0.2478990555,0.01032447815
fdbd,0.002851486206,1.0,4.196166992e-05,0.7745289803,0.1658587456,0.005275726318,0.0001769065857,0.0002131462097
gen,0.6788630486,4.196166992e-05,1.0,4.768371582e-07,0.004684925079,0.05007266998,0.07942724228,3.337860107e-05
klm,9.059906006e-06,0.7745289803,4.768371582e-07,1.0,0.005928516388,0.0008091926575,4.768371582e-07,2.62260437e-05
knn,0.004684925079,0.1658587456,0.004684925079,0.005928516388,1.0,0.0003619194031,0.02291631699,0.6788630486
mds,0.01147270203,0.005275726318,0.05007266998,0.0008091926575,0.0003619194031,1.0,0.0461602211,0.005928516388
nnguide,0.2478990555,0.0001769065857,0.07942724228,4.768371582e-07,0.02291631699,0.0461602211,1.0,0.001261711121
relation,0.01032447815,0.0002131462097,3.337860107e-05,2.62260437e-05,0.6788630486,0.005928516388,0.001261711121,1.0
