,ebo,fdbd,gen,klm,knn,mds,nnguide,relation
ebo,1.0,9.870529175e-05,0.3705310822,4.768371582e-07,0.03011751175,0.0461602211,0.05372470829,0.2221074104
fdbd,9.870529175e-05,1.0,0.0001769065857,0.353497982,0.02513885498,0.004151344299,0.0009412765503,0.01272726059
gen,0.3705310822,0.0001769065857,1.0,4.768371582e-07,0.1054534912,0.07942724228,0.01147270203,0.1869764328
klm,4.768371582e-07,0.353497982,4.768371582e-07,1.0,0.00744342804,0.0009412765503,3.337860107e-06,0.002194881439
knn,0.03011751175,0.02513885498,0.1054534912,0.00744342804,1.0,6.532669067e-05,0.5445904732,0.4244885445
mds,0.0461602211,0.004151344299,0.07942724228,0.0009412765503,6.532669067e-05,1.0,0.03289413452,0.1054534912
nnguide,0.05372470829,0.0009412765503,0.01147270203,3.337860107e-06,0.5445904732,0.03289413452,1.0,0.6556386948
relation,2.384185791e-06,0.001918315887,3.337860107e-06,0.0005044937134,0.1465167999,0.004684925079,0.001672744751,0.1465167999
